"name","name_simbadable","raj2000","decj2000"
"SDSS J144139.88+353809.5","2MASS J14413988+3538094",220.4162,35.636
"SDSS J144842.76+371932.1","2MASS J14484277+3719321",222.1782,37.3256
"SDSS J145057.34+392045.2","2MASS J14505734+3920451",222.7389,39.3459
"SDSS J145447.76+371823.1","2MASS J14544780+3718234",223.6991,37.3065
"2MASS J14554511+3843329","2MASS J14554511+3843329",223.9378,38.7259
"SDSS J151136.24+353511.4","2MASS J15113624+3535117",227.901,35.5865
"LP 222-65","LP  222-65",229.1696,39.1801
